id,label
7921,1
7922,1
7923,1
7924,0
7925,1
7926,1
7927,1
7928,1
7929,1
7930,1
7931,1
7932,0
7933,1
7934,0
7935,1
7936,1
7937,1
7938,1
7939,1
7940,1
7941,0
7942,1
7943,0
7944,1
7945,1
7946,1
7947,1
7948,1
7949,1
7950,1
7951,1
7952,1
7953,1
7954,1
7955,1
7956,1
7957,1
7958,1
7959,1
7960,1
7961,1
7962,1
7963,1
7964,1
7965,1
7966,0
7967,1
7968,1
7969,0
7970,0
7971,1
7972,1
7973,1
7974,1
7975,1
7976,1
7977,0
7978,1
7979,1
7980,1
7981,1
7982,0
7983,0
7984,1
7985,0
7986,1
7987,0
7988,1
7989,1
7990,1
7991,0
7992,1
7993,1
7994,1
7995,1
7996,1
7997,1
7998,1
7999,1
8000,1
8001,1
8002,1
8003,0
8004,1
8005,1
8006,1
8007,1
8008,1
8009,0
8010,1
8011,0
8012,1
8013,1
8014,0
8015,1
8016,1
8017,0
8018,1
8019,1
8020,1
8021,1
8022,1
8023,0
8024,1
8025,1
8026,0
8027,0
8028,0
8029,0
8030,0
8031,1
8032,1
8033,1
8034,1
8035,0
8036,1
8037,1
8038,1
8039,0
8040,1
8041,1
8042,0
8043,1
8044,1
8045,1
8046,1
8047,1
8048,0
8049,1
8050,1
8051,0
8052,0
8053,1
8054,1
8055,1
8056,1
8057,0
8058,1
8059,0
8060,1
8061,1
8062,1
8063,1
8064,0
8065,1
8066,0
8067,1
8068,1
8069,1
8070,1
8071,1
8072,1
8073,1
8074,0
8075,1
8076,1
8077,1
8078,1
8079,1
8080,1
8081,1
8082,1
8083,1
8084,1
8085,1
8086,0
8087,1
8088,0
8089,1
8090,1
8091,1
8092,1
8093,1
8094,1
8095,1
8096,1
8097,1
8098,0
8099,1
8100,0
8101,1
8102,1
8103,1
8104,1
8105,1
8106,1
8107,1
8108,1
8109,1
8110,1
8111,1
8112,1
8113,1
8114,1
8115,1
8116,1
8117,1
8118,1
8119,0
8120,1
8121,1
8122,1
8123,1
8124,1
8125,1
8126,0
8127,1
8128,1
8129,1
8130,1
8131,1
8132,1
8133,1
8134,1
8135,1
8136,1
8137,1
8138,1
8139,1
8140,1
8141,0
8142,1
8143,1
8144,1
8145,0
8146,1
8147,1
8148,1
8149,1
8150,1
8151,1
8152,1
8153,1
8154,1
8155,0
8156,1
8157,1
8158,1
8159,1
8160,1
8161,1
8162,0
8163,0
8164,0
8165,1
8166,1
8167,1
8168,0
8169,1
8170,0
8171,0
8172,1
8173,1
8174,0
8175,1
8176,0
8177,0
8178,1
8179,0
8180,0
8181,1
8182,1
8183,1
8184,1
8185,0
8186,1
8187,1
8188,1
8189,1
8190,1
8191,0
8192,1
8193,1
8194,1
8195,1
8196,1
8197,0
8198,1
8199,1
8200,1
8201,1
8202,1
8203,1
8204,1
8205,0
8206,1
8207,1
8208,1
8209,1
8210,0
8211,0
8212,1
8213,0
8214,1
8215,1
8216,1
8217,1
8218,1
8219,1
8220,1
8221,1
8222,0
8223,1
8224,1
8225,1
8226,1
8227,1
8228,1
8229,1
8230,1
8231,0
8232,1
8233,1
8234,0
8235,0
8236,1
8237,0
8238,1
8239,1
8240,0
8241,1
8242,0
8243,1
8244,1
8245,1
8246,0
8247,1
8248,0
8249,1
8250,1
8251,0
8252,1
8253,1
8254,0
8255,0
8256,1
8257,1
8258,0
8259,1
8260,1
8261,0
8262,0
8263,1
8264,0
8265,1
8266,1
8267,1
8268,1
8269,0
8270,0
8271,1
8272,1
8273,1
8274,0
8275,1
8276,1
8277,1
8278,1
8279,1
8280,0
8281,1
8282,1
8283,1
8284,1
8285,1
8286,1
8287,1
8288,1
8289,1
8290,1
8291,0
8292,1
8293,0
8294,1
8295,0
8296,1
8297,1
8298,1
8299,1
8300,1
8301,0
8302,1
8303,1
8304,0
8305,1
8306,1
8307,1
8308,0
8309,1
8310,1
8311,0
8312,1
8313,1
8314,1
8315,1
8316,1
8317,1
8318,0
8319,1
8320,1
8321,1
8322,0
8323,1
8324,0
8325,0
8326,0
8327,1
8328,0
8329,0
8330,1
8331,1
8332,1
8333,1
8334,1
8335,1
8336,1
8337,1
8338,0
8339,0
8340,0
8341,1
8342,1
8343,1
8344,1
8345,0
8346,1
8347,1
8348,1
8349,1
8350,0
8351,1
8352,1
8353,1
8354,1
8355,1
8356,1
8357,1
8358,1
8359,0
8360,1
8361,1
8362,1
8363,1
8364,0
8365,1
8366,1
8367,1
8368,1
8369,1
8370,1
8371,1
8372,1
8373,1
8374,1
8375,1
8376,0
8377,0
8378,0
8379,0
8380,1
8381,1
8382,1
8383,0
8384,1
8385,1
8386,1
8387,1
8388,1
8389,1
8390,1
8391,1
8392,0
8393,1
8394,0
8395,1
8396,1
8397,1
8398,1
8399,1
8400,1
8401,0
8402,1
8403,0
8404,0
8405,0
8406,1
8407,0
8408,0
8409,1
8410,1
8411,1
8412,1
8413,0
8414,0
8415,1
8416,1
8417,1
8418,1
8419,1
8420,1
8421,1
8422,0
8423,1
8424,1
8425,0
8426,1
8427,0
8428,1
8429,1
8430,1
8431,1
8432,0
8433,1
8434,1
8435,1
8436,1
8437,1
8438,1
8439,1
8440,1
8441,0
8442,1
8443,1
8444,1
8445,0
8446,1
8447,1
8448,1
8449,0
8450,0
8451,1
8452,1
8453,0
8454,1
8455,0
8456,1
8457,1
8458,1
8459,1
8460,1
8461,1
8462,1
8463,1
8464,1
8465,1
8466,1
8467,0
8468,1
8469,1
8470,1
8471,1
8472,1
8473,1
8474,0
8475,1
8476,0
8477,1
8478,1
8479,1
8480,0
8481,1
8482,0
8483,1
8484,1
8485,1
8486,1
8487,1
8488,1
8489,1
8490,0
8491,1
8492,1
8493,0
8494,0
8495,1
8496,1
8497,1
8498,1
8499,0
8500,1
8501,0
8502,0
8503,1
8504,0
8505,1
8506,1
8507,1
8508,0
8509,1
8510,1
8511,0
8512,1
8513,1
8514,1
8515,1
8516,1
8517,1
8518,1
8519,0
8520,0
8521,1
8522,1
8523,1
8524,1
8525,1
8526,1
8527,0
8528,1
8529,1
8530,1
8531,1
8532,1
8533,1
8534,0
8535,1
8536,1
8537,1
8538,1
8539,0
8540,0
8541,1
8542,0
8543,1
8544,1
8545,1
8546,1
8547,1
8548,0
8549,1
8550,1
8551,1
8552,1
8553,1
8554,1
8555,1
8556,1
8557,1
8558,1
8559,1
8560,1
8561,1
8562,1
8563,0
8564,1
8565,1
8566,1
8567,1
8568,1
8569,1
8570,1
8571,0
8572,1
8573,1
8574,1
8575,0
8576,1
8577,1
8578,0
8579,0
8580,1
8581,0
8582,1
8583,1
8584,1
8585,0
8586,1
8587,1
8588,0
8589,1
8590,1
8591,1
8592,1
8593,0
8594,1
8595,1
8596,1
8597,1
8598,1
8599,0
8600,1
8601,1
8602,1
8603,1
8604,0
8605,1
8606,1
8607,1
8608,1
8609,1
8610,1
8611,1
8612,1
8613,0
8614,1
8615,1
8616,1
8617,1
8618,1
8619,1
8620,1
8621,1
8622,1
8623,1
8624,1
8625,1
8626,1
8627,1
8628,1
8629,0
8630,1
8631,1
8632,1
8633,1
8634,1
8635,1
8636,1
8637,1
8638,0
8639,1
8640,1
8641,1
8642,0
8643,1
8644,1
8645,1
8646,1
8647,0
8648,1
8649,1
8650,0
8651,1
8652,1
8653,0
8654,0
8655,1
8656,0
8657,1
8658,0
8659,1
8660,1
8661,0
8662,1
8663,1
8664,0
8665,1
8666,1
8667,1
8668,1
8669,1
8670,0
8671,1
8672,1
8673,0
8674,1
8675,0
8676,1
8677,1
8678,1
8679,1
8680,0
8681,1
8682,1
8683,1
8684,1
8685,1
8686,1
8687,1
8688,1
8689,0
8690,0
8691,1
8692,0
8693,1
8694,1
8695,1
8696,1
8697,0
8698,1
8699,1
8700,1
8701,1
8702,1
8703,1
